booster,colsample_bytree,eta,eval_metric,improve10,improve15,improve5,lamda,learning_rate,max_depth,objective,scale_pos_weight,seed,value-mean10,value-mean15,value-mean5
gbtree,0.7,0.01,auc,-1.00618635267,-1.34000430305,-0.694432203825,0.8,0.1,5,binary:logistic,18.92543859649123,1,7.3,6.73333333333,8.578
gbtree,0.7,0.01,auc,-1.00618635267,-1.34000430305,-0.694432203825,1,0.1,5,binary:logistic,18.92543859649123,1,7.3,6.73333333333,8.578
gbtree,0.7,0.1,auc,-1.40250892897,-1.33113647127,-2.12925180879,0.2,0.05,5,binary:logistic,18.92543859649123,1,7.767,7.306,7.324
gbtree,0.7,0.1,auc,-1.40250892897,-1.33113647127,-2.12925180879,0.4,0.05,5,binary:logistic,18.92543859649123,1,7.767,7.306,7.324
gbtree,0.7,0.1,auc,-1.40250892897,-1.33113647127,-2.12925180879,0.6,0.05,5,binary:logistic,18.92543859649123,1,7.767,7.306,7.324
gbtree,0.7,0.1,auc,-1.40250892897,-1.33113647127,-2.12925180879,0.8,0.05,5,binary:logistic,18.92543859649123,1,7.767,7.306,7.324
gbtree,0.7,0.1,auc,-1.40250892897,-1.33113647127,-2.12925180879,1,0.05,5,binary:logistic,18.92543859649123,1,7.767,7.306,7.324
gbtree,0.7,0.1,auc,-1.00618635267,-1.34000430305,-0.694432203825,0.2,0.1,5,binary:logistic,18.92543859649123,1,7.3,6.73333333333,8.578
gbtree,0.7,0.1,auc,-1.00618635267,-1.34000430305,-0.694432203825,0.4,0.1,5,binary:logistic,18.92543859649123,1,7.3,6.73333333333,8.578
gbtree,0.7,0.1,auc,-1.00618635267,-1.34000430305,-0.694432203825,0.6,0.1,5,binary:logistic,18.92543859649123,1,7.3,6.73333333333,8.578
gbtree,0.7,0.1,auc,-1.00618635267,-1.34000430305,-0.694432203825,0.8,0.1,5,binary:logistic,18.92543859649123,1,7.3,6.73333333333,8.578
gbtree,0.7,0.1,auc,-1.00618635267,-1.34000430305,-0.694432203825,1,0.1,5,binary:logistic,18.92543859649123,1,7.3,6.73333333333,8.578
